x,y,z,yaw,pitch,roll,img
20.0,33.0,29.0,-37.958744,2.1926703,-9.75615,image00175
44.0,29.0,30.0,33.431526,-11.674529,-7.651556,image00176
6.0,-1.0,-1.0,-80.24836,-133.40306,-218.90343,image00179
15.0,31.0,31.0,-51.820835,-4.1985555,-3.0843651,image00180
59.0,37.0,39.0,79.41765,12.592319,19.672915,image00181
7.0,40.0,28.0,-76.23124,23.426485,-12.714928,image00182
28.0,34.0,29.0,-13.971787,4.308883,-9.31245,image00183
40.0,28.0,30.0,23.072527,-14.505556,-7.9108114,image00186
31.0,39.0,33.0,-3.7123616,20.81942,0.6974529,image00187
8.0,-1.0,66.0,-74.25087,-121.17216,124.10877,image00188
34.0,26.0,27.0,5.4515443,-18.438879,-17.307203,image00190
41.0,34.0,31.0,24.749424,4.2399583,-4.721425,image00197
46.0,30.0,27.0,40.929287,-7.7854238,-15.402589,image00198
26.0,30.0,33.0,-20.833937,-6.601634,2.8209658,image00199
30.0,33.0,27.0,-7.636851,1.0815535,-15.060258,image00202
34.0,31.0,34.0,4.13935,-4.4355845,4.847333,image00203
26.0,33.0,10.0,-19.061394,1.0501324,-68.09285,image00204
38.0,31.0,28.0,15.858714,-3.8045797,-14.40512,image00207
38.0,31.0,34.0,16.556276,-4.672997,4.580942,image00208
32.0,30.0,44.0,-2.0709658,-6.0320945,34.654793,image00209
41.0,30.0,33.0,25.391615,-7.068623,1.8980491,image00210
50.0,32.0,33.0,51.62428,-2.2687633,0.6728908,image00211
31.0,26.0,37.0,-4.582178,-19.613762,13.223104,image00213
34.0,28.0,27.0,4.752276,-14.827762,-16.617834,image00214
36.0,31.0,42.0,9.713377,-5.552531,29.300104,image00215
51.0,27.0,31.0,55.582035,-16.502398,-3.2908454,image00216
30.0,31.0,40.0,-6.995274,-3.4492233,23.79952,image00217
27.0,26.0,33.0,-15.214204,-19.612986,0.999285,image00218
35.0,27.0,25.0,8.936292,-16.370651,-23.745695,image00219
38.0,27.0,27.0,17.064095,-16.397455,-15.342154,image00222
28.0,39.0,32.0,-14.733769,19.599234,-1.0932477,image00224
52.0,25.0,29.0,59.234222,-22.847576,-10.079668,image00227
50.0,29.0,38.0,51.558067,-10.981539,15.585701,image00228
38.0,35.0,43.0,16.14225,6.7162404,31.760319,image00229
39.0,30.0,30.0,20.69881,-6.05002,-6.0276995,image00231
27.0,30.0,32.0,-15.552684,-6.8445625,-1.8634164,image00233
33.0,28.0,31.0,2.3282268,-14.478196,-5.4161963,image00234
12.0,42.0,25.0,-60.943317,28.428335,-23.051844,image00235
36.0,28.0,30.0,9.331505,-12.300263,-6.3466845,image00237
26.0,27.0,20.0,-18.864113,-15.042194,-36.30555,image00239
26.0,32.0,34.0,-19.034836,-1.053895,3.5664666,image00246
14.0,35.0,28.0,-54.685314,6.994643,-14.579479,image00251
31.0,30.0,39.0,-5.4343705,-8.321955,18.66552,image00254
32.0,32.0,31.0,-0.44781795,-2.904867,-4.8322363,image00255
46.0,29.0,27.0,41.225372,-11.79819,-15.737636,image00256
52.0,29.0,31.0,57.066395,-9.96353,-5.8184743,image00259
61.0,-1.0,0.0,84.28368,-99.44019,-98.61818,image00260
39.0,28.0,31.0,18.263056,-13.386686,-5.1622176,image00261
35.0,27.0,34.0,8.940141,-15.23326,4.8861737,image00262
20.0,25.0,32.0,-37.025196,-21.443415,-1.9963254,image00263
9.0,32.0,32.0,-69.84253,-2.968936,-0.94893175,image00264
31.0,25.0,32.0,-4.6864505,-23.136246,-1.7786455,image00268
32.0,27.0,30.0,-1.6899034,-16.450459,-7.4522433,image00269
42.0,29.0,27.0,27.191301,-10.978261,-17.094744,image00270
14.0,30.0,31.0,-56.369858,-8.238491,-3.637546,image00271
15.0,18.0,47.0,-53.519962,-44.95888,43.32557,image00274
39.0,32.0,30.0,19.232855,-0.71706134,-8.660349,image00276
21.0,33.0,32.0,-35.89121,0.9165748,-0.5888596,image00278
42.0,27.0,36.0,27.374954,-15.264465,11.192874,image00279
28.0,30.0,37.0,-14.541975,-7.2511706,13.293039,image00280
34.0,31.0,32.0,3.4968193,-4.1594214,-2.7963345,image00282
25.0,31.0,34.0,-21.643469,-3.2064974,5.9835453,image00283
35.0,30.0,36.0,7.875862,-6.854842,10.422681,image00287
19.0,32.0,32.0,-41.141308,-0.23855598,-0.42206094,image00288
24.0,29.0,30.0,-25.149017,-9.065786,-7.321922,image00289
60.0,66.0,66.0,81.97132,132.70428,133.93132,image00290
31.0,34.0,28.0,-3.888522,3.5833764,-12.288142,image00291
31.0,40.0,30.0,-3.397212,23.954668,-8.563076,image00292
35.0,30.0,32.0,7.8262987,-8.158704,-0.7036984,image00294
25.0,25.0,37.0,-23.936274,-21.342672,12.289278,image00296
58.0,30.0,32.0,75.71352,-8.027776,-2.1236217,image00298
30.0,33.0,33.0,-7.4098077,1.846906,2.259997,image00299
34.0,32.0,31.0,4.544735,-2.0619643,-3.290032,image00302
34.0,43.0,32.0,3.3302634,31.531124,-1.5807523,image00303
40.0,34.0,41.0,23.58911,5.154593,25.653967,image00304
19.0,35.0,22.0,-41.226574,8.376495,-32.56652,image00306
33.0,27.0,33.0,2.6727245,-17.359533,0.45013723,image00310
39.0,23.0,22.0,19.188784,-27.376278,-32.87617,image00311
8.0,37.0,32.0,-72.012375,13.917324,-0.94691074,image00312
23.0,32.0,32.0,-29.12434,-0.6839008,-1.6132122,image00315
32.0,31.0,33.0,-2.5725918,-3.5682127,0.1574568,image00316
46.0,34.0,29.0,41.667217,5.640489,-9.088258,image00318
32.0,31.0,38.0,-2.0998154,-3.7305508,17.739874,image00320
31.0,31.0,32.0,-3.4466026,-5.587945,-1.796924,image00321
37.0,31.0,29.0,13.542025,-5.5670314,-11.139671,image00322
33.0,29.0,32.0,2.6015215,-9.957525,-1.1515403,image00323
45.0,28.0,29.0,38.790653,-13.621468,-10.038414,image00324
24.0,31.0,32.0,-24.869175,-5.557665,-2.5344944,image00325
41.0,24.0,28.0,24.829473,-25.314312,-13.814854,image00327
31.0,28.0,33.0,-4.8906174,-14.459321,2.4460893,image00328
36.0,41.0,36.0,11.989571,26.266499,9.193161,image00329
17.0,44.0,20.0,-45.426388,35.259453,-37.986965,image00330
36.0,35.0,27.0,11.860024,6.076273,-16.397879,image00331
31.0,34.0,38.0,-3.0146468,3.9866366,15.369338,image00332
35.0,35.0,35.0,6.8719244,6.296974,7.9056325,image00333
43.0,32.0,37.0,32.525608,-1.6634235,13.803037,image00334
9.0,27.0,47.0,-69.55475,-16.080109,44.939365,image00336
36.0,37.0,32.0,11.317741,12.059713,-1.495399,image00337
55.0,45.0,39.0,68.67752,37.78636,19.55762,image00338
6.0,-1.0,66.0,-78.52474,-204.0843,203.08842,image00339
39.0,26.0,39.0,18.295795,-19.923252,18.850616,image00343
35.0,26.0,26.0,8.479635,-20.444199,-20.001623,image00345
27.0,31.0,32.0,-15.46864,-3.0378027,-1.7654465,image00347
13.0,44.0,25.0,-59.636745,33.715233,-21.446064,image00348
39.0,30.0,30.0,20.095741,-7.9640083,-6.3889623,image00349
31.0,26.0,34.0,-4.5450807,-20.617588,4.1890764,image00350
30.0,29.0,34.0,-7.2865586,-10.230599,3.387231,image00351
9.0,-1.0,66.0,-71.94689,-111.217316,117.241425,image00352
51.0,29.0,31.0,56.99366,-11.852487,-4.9512253,image00354
31.0,29.0,37.0,-3.589626,-11.106767,13.734044,image00355
28.0,30.0,36.0,-14.867565,-6.64706,9.201854,image00357
31.0,33.0,28.0,-4.0153804,1.0269139,-14.489327,image00359
31.0,31.0,30.0,-3.4516404,-3.5522656,-8.187523,image00360
31.0,33.0,30.0,-3.0821388,0.71097934,-7.9724903,image00362
29.0,30.0,39.0,-9.459795,-8.181348,19.397808,image00363
28.0,32.0,34.0,-12.6928215,-0.8500203,4.374822,image00367
28.0,26.0,39.0,-13.051973,-19.925102,19.831575,image00368
36.0,31.0,31.0,11.97867,-4.2524514,-5.486974,image00370
29.0,25.0,33.0,-9.307371,-22.252909,2.0616817,image00371
26.0,39.0,24.0,-20.359268,18.513538,-26.296967,image00374
43.0,27.0,24.0,31.769115,-17.309427,-26.047956,image00375
24.0,35.0,28.0,-26.659758,8.087232,-12.657026,image00376
30.0,43.0,32.0,-7.1974025,32.42982,-1.0212085,image00377
31.0,30.0,32.0,-3.1596973,-7.0229564,-0.91289663,image00379
22.0,41.0,26.0,-31.219261,26.658356,-18.011124,image00385
35.0,28.0,30.0,7.2598243,-14.642705,-6.6040072,image00387
38.0,30.0,28.0,15.609774,-8.727389,-12.945423,image00389
31.0,26.0,33.0,-3.2818723,-19.575624,2.111795,image00391
7.0,-1.0,66.0,-77.80339,-197.655,198.92271,image00392
36.0,35.0,33.0,11.343683,6.959262,1.5280585,image00393
49.0,30.0,35.0,49.615524,-7.380696,7.1845026,image00395
35.0,27.0,32.0,8.093195,-17.030193,-2.3413932,image00397
40.0,36.0,39.0,21.201511,11.891141,19.854633,image00399
-1.0,13.0,50.0,-117.55676,-58.13187,51.392143,image00400
34.0,35.0,32.0,3.4686975,7.2230926,-1.5085799,image00401
27.0,28.0,36.0,-16.30788,-13.06241,9.238006,image00404
33.0,28.0,35.0,1.3312765,-13.996567,8.291602,image00405
25.0,24.0,37.0,-22.605051,-25.866457,13.281327,image00408
24.0,25.0,33.0,-26.541409,-21.257845,2.5099072,image00410
32.0,24.0,33.0,-2.1548934,-24.629284,1.0090694,image00412
31.0,25.0,23.0,-3.6998956,-21.309856,-29.037853,image00416
32.0,26.0,31.0,-2.3437064,-18.315756,-3.1332505,image00419
23.0,35.0,31.0,-27.049484,6.7789855,-3.6959124,image00420
60.0,23.0,25.0,83.05775,-28.866835,-22.061722,image00421
20.0,30.0,35.0,-37.54607,-6.7857447,8.631827,image00424
26.0,31.0,35.0,-19.000927,-5.7247796,7.426298,image00426
35.0,40.0,28.0,6.969167,22.704714,-12.521476,image00427
56.0,46.0,40.0,69.16602,39.439262,23.749914,image00428
48.0,26.0,24.0,47.41741,-20.03165,-25.554739,image00429
34.0,44.0,35.0,4.6874733,34.44871,7.2456193,image00430
28.0,32.0,35.0,-14.795385,-1.194144,6.6168256,image00431
10.0,25.0,41.0,-67.232315,-21.697685,25.306536,image00433
35.0,29.0,28.0,8.880604,-11.297882,-14.247097,image00434
32.0,27.0,30.0,-0.7582225,-15.893097,-7.5690107,image00435
33.0,35.0,32.0,1.0058184,8.165912,-0.8811465,image00436
50.0,31.0,25.0,53.811905,-4.0065966,-21.927328,image00437
20.0,22.0,45.0,-37.22886,-30.3671,38.163406,image00439
42.0,29.0,22.0,28.065603,-10.624403,-32.717133,image00440
35.0,26.0,34.0,6.5122824,-19.036243,3.7078605,image00441
23.0,30.0,36.0,-28.26453,-8.154748,11.307464,image00442
38.0,27.0,23.0,17.16783,-17.641138,-29.287079,image00444
24.0,28.0,35.0,-26.367432,-12.905227,8.475372,image00445
28.0,31.0,36.0,-12.007101,-5.5175734,10.708409,image00447
23.0,27.0,35.0,-28.562477,-15.7151165,8.282275,image00448
35.0,33.0,33.0,8.694023,1.0644687,0.05124187,image00449
18.0,38.0,-1.0,-43.36574,15.231988,-102.313126,image00450
58.0,37.0,32.0,77.553185,13.771754,-0.21014227,image00451
17.0,34.0,30.0,-46.12606,5.243348,-6.447379,image00454
29.0,37.0,38.0,-11.137714,14.784369,15.917236,image00457
31.0,24.0,39.0,-4.7169876,-26.69678,18.019657,image00459
12.0,17.0,51.0,-60.220383,-47.046047,56.228645,image00460
33.0,30.0,33.0,0.5613711,-8.980929,0.44982073,image00466
55.0,33.0,31.0,66.50639,1.1410413,-3.070178,image00468
12.0,26.0,42.0,-61.82181,-20.566042,28.674433,image00469
51.0,27.0,29.0,54.405937,-16.505384,-11.220442,image00470
11.0,17.0,51.0,-65.96951,-47.999336,54.196053,image00472
6.0,34.0,35.0,-80.63945,3.9424317,8.151279,image00473
54.0,46.0,39.0,65.621216,39.958942,19.989569,image00475
12.0,15.0,44.0,-60.361393,-53.179432,35.8468,image00476
60.0,51.0,50.0,81.1473,55.227444,53.98508,image00477
38.0,32.0,27.0,17.520538,-2.7648787,-16.145578,image00480
32.0,35.0,32.0,-0.17275181,6.103543,-1.1265603,image00481
58.0,41.0,41.0,75.462906,24.826487,24.397865,image00482
40.0,32.0,35.0,23.409555,-0.8022324,8.630234,image00483
58.0,33.0,33.0,76.92079,1.1279405,1.9037585,image00485
8.0,39.0,29.0,-74.9804,20.943634,-10.9951935,image00486
14.0,28.0,35.0,-56.405037,-12.749583,6.0876107,image00489
34.0,29.0,31.0,5.880266,-9.369493,-4.746375,image00490
38.0,32.0,20.0,17.473999,-1.228105,-38.152145,image00491
33.0,31.0,35.0,0.9505933,-3.883019,6.8789945,image00494
36.0,28.0,33.0,11.172383,-13.348863,0.3707723,image00496
36.0,47.0,4.0,9.753065,42.004395,-86.22902,image00497
30.0,35.0,30.0,-7.535339,8.122561,-6.2831345,image00498
32.0,29.0,39.0,-2.764692,-11.156295,20.285305,image00499
34.0,25.0,32.0,3.276046,-22.011507,-0.8079411,image00500
25.0,31.0,34.0,-23.472982,-3.2081678,4.183368,image00501
33.0,29.0,33.0,1.2802887,-10.984388,1.879389,image00503
33.0,30.0,32.0,0.15439941,-6.28771,-0.39919287,image00504
36.0,29.0,30.0,9.596386,-10.597914,-8.445659,image00506
46.0,38.0,37.0,41.412853,17.92702,14.260897,image00507
34.0,34.0,23.0,5.968778,4.5896196,-28.138542,image00511
32.0,36.0,33.0,-1.15599,9.020796,1.1556965,image00512
31.0,43.0,35.0,-5.2734146,30.661276,6.330508,image00514
37.0,29.0,31.0,13.374313,-10.802145,-3.1080763,image00515
21.0,32.0,34.0,-35.709,-0.9901996,5.616868,image00516
24.0,32.0,27.0,-26.417112,-1.8091635,-17.970362,image00517
32.0,37.0,30.0,-1.1023421,12.609716,-8.7003,image00518
16.0,40.0,35.0,-49.83807,22.386782,8.887501,image00519
27.0,24.0,34.0,-17.361837,-26.643373,3.484822,image00520
41.0,26.0,29.0,25.210886,-19.185266,-11.040552,image00521
17.0,26.0,37.0,-46.067703,-19.626293,14.995211,image00523
33.0,29.0,32.0,0.8554522,-11.352707,-0.6614745,image00527
36.0,32.0,31.0,10.634649,-2.9552367,-5.7654366,image00528
23.0,28.0,39.0,-29.892849,-14.628764,18.063469,image00530
29.0,31.0,30.0,-10.036928,-4.073579,-6.431695,image00532
34.0,23.0,25.0,5.3595757,-29.96292,-21.216124,image00533
27.0,35.0,41.0,-17.407843,6.8191123,25.549479,image00534
32.0,31.0,32.0,-1.9582361,-4.4683228,-0.3610311,image00535
28.0,33.0,36.0,-13.153611,0.74002874,9.829378,image00538
34.0,33.0,30.0,5.3796477,0.4737295,-8.735475,image00540
25.0,28.0,32.0,-23.993248,-14.00798,-1.9247544,image00543
18.0,28.0,37.0,-42.66932,-13.3710785,12.951393,image00544
58.0,20.0,16.0,77.03638,-36.86246,-49.03286,image00545
44.0,26.0,28.0,34.0536,-20.702436,-14.622108,image00547
39.0,33.0,31.0,19.49483,2.322391,-4.5359907,image00548
29.0,34.0,33.0,-10.192733,5.770633,0.01245676,image00549
26.0,30.0,35.0,-18.440395,-8.07355,8.7668915,image00550
28.0,28.0,28.0,-13.631326,-12.291588,-12.200434,image00551
29.0,24.0,33.0,-10.724044,-25.69405,1.9630736,image00553
34.0,38.0,31.0,5.742894,17.491304,-5.3730764,image00554
33.0,33.0,28.0,2.2940404,0.29252714,-13.678736,image00555
24.0,36.0,32.0,-26.458492,10.825566,-1.5858535,image00557
39.0,26.0,30.0,18.940348,-19.150984,-8.577602,image00558
35.0,29.0,32.0,7.3803806,-9.503428,-0.65055996,image00559
32.0,26.0,32.0,-1.7348402,-19.040035,-0.0037476916,image00560
34.0,39.0,28.0,3.5293303,19.859465,-13.114094,image00561
36.0,35.0,46.0,11.27736,8.759531,40.998207,image00562
34.0,32.0,42.0,3.987257,-1.6392025,28.402704,image00564
8.0,29.0,35.0,-74.1228,-9.709005,6.547246,image00565
33.0,39.0,32.0,2.8241506,19.26783,-0.2316127,image00566
40.0,35.0,32.0,22.573357,8.29357,-2.2944658,image00567
37.0,40.0,29.0,12.040837,21.576532,-9.601183,image00571
32.0,32.0,32.0,-0.31664896,-0.34264922,-2.448929,image00574
48.0,30.0,27.0,45.109623,-7.319445,-17.633532,image00577
44.0,32.0,33.0,33.21221,-0.07572201,2.255904,image00578
32.0,28.0,33.0,-1.6631938,-14.075998,0.64916146,image00580
35.0,30.0,27.0,8.06082,-8.310953,-15.099853,image00584
36.0,30.0,45.0,9.526844,-6.253018,37.72849,image00585
46.0,40.0,35.0,39.63431,22.469973,8.690853,image00586
37.0,34.0,30.0,14.779626,5.5755935,-6.5515437,image00587
33.0,30.0,31.0,0.3505709,-8.695445,-5.1001506,image00589
25.0,29.0,33.0,-21.456425,-9.417717,1.5613625,image00591
32.0,33.0,33.0,-2.499849,0.21496102,1.4539553,image00592
23.0,33.0,36.0,-29.22812,1.525437,10.913884,image00593
29.0,27.0,36.0,-11.5882015,-17.065508,11.063007,image00595
38.0,29.0,24.0,17.62358,-10.669636,-25.284536,image00597
35.0,29.0,32.0,6.959772,-11.217495,-1.8356161,image00598
7.0,27.0,42.0,-75.3156,-17.028074,28.577888,image00599
34.0,28.0,23.0,5.266268,-14.048569,-28.391579,image00600
32.0,28.0,15.0,-0.2793792,-13.67264,-51.991444,image00602
37.0,32.0,36.0,13.686134,-1.5229661,10.102657,image00604
41.0,28.0,25.0,25.822456,-13.111295,-23.279804,image00606
34.0,29.0,30.0,4.558467,-9.201614,-8.667996,image00607
40.0,31.0,33.0,22.13195,-4.0635796,1.7037935,image00608
36.0,28.0,36.0,11.662007,-12.292439,10.28594,image00609
10.0,27.0,32.0,-66.53689,-16.595604,-0.3413541,image00610
39.0,29.0,41.0,18.552927,-10.73824,24.044727,image00611
34.0,26.0,30.0,3.7179818,-19.521254,-7.6182156,image00612
38.0,35.0,27.0,15.891327,6.174854,-15.633528,image00613
21.0,26.0,44.0,-34.89515,-20.871033,34.01069,image00614
38.0,23.0,21.0,16.193764,-28.778234,-35.826683,image00615
32.0,30.0,-1.0,-2.8172438,-6.300846,-100.876335,image00617
20.0,31.0,31.0,-37.90791,-5.0642557,-4.016596,image00622
14.0,24.0,40.0,-55.41105,-25.148504,22.246037,image00623
35.0,25.0,32.0,7.68987,-22.02223,-2.6982825,image00624
51.0,20.0,19.0,54.586765,-37.401455,-40.184483,image00626
56.0,29.0,31.0,70.00286,-9.056965,-3.7422261,image00627
19.0,31.0,36.0,-39.33379,-5.01237,9.092123,image00631
35.0,35.0,33.0,7.4140773,6.5036364,0.022687789,image00632
28.0,32.0,28.0,-13.382342,-2.0906348,-12.222195,image00634
15.0,35.0,32.0,-53.27254,7.4421434,-1.6967841,image00636
31.0,34.0,31.0,-3.0153894,5.6091504,-3.4578624,image00642
45.0,26.0,28.0,36.109226,-20.771385,-14.492975,image00643
36.0,35.0,30.0,11.267088,6.028501,-6.209375,image00645
27.0,29.0,36.0,-16.70678,-10.861707,9.2509985,image00648
36.0,31.0,33.0,9.586323,-4.262721,0.96689004,image00650
23.0,32.0,30.0,-28.298798,-0.47127616,-6.899349,image00655
29.0,29.0,30.0,-9.543591,-10.298671,-6.943831,image00656
34.0,29.0,32.0,5.049125,-9.034426,-2.3473015,image00658
21.0,24.0,40.0,-34.469597,-24.707394,22.622152,image00661
30.0,33.0,31.0,-7.970723,1.2353245,-4.115409,image00663
31.0,30.0,36.0,-5.5279393,-6.9879193,10.540434,image00665
38.0,27.0,30.0,16.948256,-16.063234,-7.639819,image00667
35.0,31.0,29.0,6.0912623,-5.783473,-11.690819,image00670
45.0,31.0,31.0,37.61517,-4.390769,-3.1360023,image00673
36.0,28.0,32.0,9.096973,-12.273039,-0.6840463,image00678
38.0,38.0,35.0,16.759092,16.061808,6.919733,image00679
51.0,26.0,25.0,56.77021,-20.108728,-22.873352,image00680
27.0,31.0,31.0,-15.282483,-5.831797,-3.4312482,image00681
39.0,35.0,33.0,19.253618,7.728125,0.16905163,image00682
35.0,28.0,31.0,6.856739,-13.8433695,-5.0507917,image00683
18.0,31.0,34.0,-42.776493,-5.7474613,3.8618057,image00684
30.0,23.0,33.0,-7.1422377,-27.218184,2.8094118,image00685
41.0,29.0,31.0,25.499556,-10.745809,-4.5280213,image00688
32.0,30.0,32.0,-1.9957082,-6.8739805,-0.4230953,image00689
